MATERIAL;DESCRIPCION_MATERIAL;DESCRIPCION_MATERIAL_ENRIQUECIDO;DESCRIPCION_LARGA;EAN;DESCRIPCION_TALLA;DESCRIPCION_COLOR;IMAGEN_GRANDE;TIPO_PRENDA;COMPOSICION_ES;GENERO;DEPARTAMENTO;CARACTERISTICA;TAGS;GRUPO_DESTINO
106826;Bóxer Largo para Hombre Eslalom Azul Oscuro S;Bóxer Largo para Hombre Eslalom Azul Oscuro S;Máxima comodidad a la hora de entrenar con el Bóxer Largo para Hombre Eslalom Azul Oscuro hecho en nylon y lycra, ideal para el uso deportivo ya que cuenta con corte ergonómico y favorece una mejor transpirabilidad y secado rápido. Selecciona tu preferido en nuestra tienda virtual GEF.<br/>;7701584318354;S;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-oscuro-5758-frente-GEF.jpg?sharp=1&width=600&height=750;PANTALONCILLOS;0000-00-00 00:00:00.000000;MASCULINO;ADULTOS;AJUSTADO LARGO;boxer deportivo, boxer largo, boxer azul, boxer para hombre;UNIVERSITARIOS
106826;Bóxer Largo para Hombre Eslalom Azul Rey S;Bóxer Largo para Hombre Eslalom Azul Rey S;Máxima comodidad a la hora de entrenar con el Bóxer Largo para Hombre Eslalom Azul Rey hecho en nylon y lycra, ideal para el uso deportivo ya que cuenta con corte ergonómico y favorece una mejor transpirabilidad y secado rápido. Selecciona tu preferido en nuestra tienda virtual GEF.<br/>;7701701348486;S;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-rey-25008-frente-GEF.jpg?sharp=1&width=600&height=750;PANTALONCILLOS;0000-00-00 00:00:00.000000;MASCULINO;ADULTOS;AJUSTADO LARGO;boxer deportivo, boxer largo, boxer azul, boxer para hombre;UNIVERSITARIOS
106826;Bóxer Largo para Hombre Eslalom Azul Rey M;Bóxer Largo para Hombre Eslalom Azul Rey M;Máxima comodidad a la hora de entrenar con el Bóxer Largo para Hombre Eslalom Azul Rey hecho en nylon y lycra, ideal para el uso deportivo ya que cuenta con corte ergonómico y favorece una mejor transpirabilidad y secado rápido. Selecciona tu preferido en nuestra tienda virtual GEF.<br/>;7701701348493;M;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-rey-25008-frente-GEF.jpg?sharp=1&width=600&height=750;PANTALONCILLOS;0000-00-00 00:00:00.000000;MASCULINO;ADULTOS;AJUSTADO LARGO;boxer deportivo, boxer largo, boxer azul, boxer para hombre;UNIVERSITARIOS
700396;Camiseta para Niño New Pacific Kids Azul Turquesa 10;Camiseta para Niño New Pacific Kids Azul Turquesa 10;Con la Camiseta para Niño New Pacific Kids, tu hijo tendrá una prenda de estilo casual para que la use cuando quiera y se sienta cómodo y fresco. Además cuenta con diseño de cuello redondo y un estampado localizado. De venta en nuestra tienda virtual GEF.;7701701446281;10;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Azul-Turquesa-5630-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;camisetas para niño, camisetas estampadas;NIÑOS
700396;Camiseta para Niño New Pacific Kids Verde 4;Camiseta para Niño New Pacific Kids Verde 4;Con la Camiseta para Niño New Pacific Kids, tu hijo tendrá una prenda de estilo casual para que la use cuando quiera y se sienta cómodo y fresco. Además cuenta con diseño de cuello redondo y un estampado localizado. De venta en nuestra tienda virtual GEF.;7701701508729;4;Verde;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Verde-15622-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;camisetas para niño, camisetas estampadas;NIÑOS
700396;Camiseta para Niño New Pacific Kids Verde 10;Camiseta para Niño New Pacific Kids Verde 10;Con la Camiseta para Niño New Pacific Kids, tu hijo tendrá una prenda de estilo casual para que la use cuando quiera y se sienta cómodo y fresco. Además cuenta con diseño de cuello redondo y un estampado localizado. De venta en nuestra tienda virtual GEF.;7701701508750;10;Verde;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Verde-15622-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;camisetas para niño, camisetas estampadas;NIÑOS
106826;Bóxer Largo para Hombre Eslalom Gris S;Bóxer Largo para Hombre Eslalom Gris S;Máxima comodidad a la hora de entrenar con el Bóxer Largo para Hombre Eslalom hecho en nylon y lycra, ideal para el uso deportivo ya que cuenta con corte ergonómico y favorece una mejor transpirabilidad y secado rápido. Selecciona tu preferido en nuestra tienda virtual GEF.;7701701518476;S;Gris;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Boxer-Hombre-Eslalom-Gris-7087-Frente-GEF.jpg?sharp=1&width=600&height=750;PANTALONCILLOS;0000-00-00 00:00:00.000000;MASCULINO;ADULTOS;AJUSTADO LARGO;boxer deportivo, boxer largo, boxer para hombre;UNIVERSITARIOS
106826;Bóxer Largo para Hombre Eslalom Gris XL;Bóxer Largo para Hombre Eslalom Gris XL;Máxima comodidad a la hora de entrenar con el Bóxer Largo para Hombre Eslalom hecho en nylon y lycra, ideal para el uso deportivo ya que cuenta con corte ergonómico y favorece una mejor transpirabilidad y secado rápido. Selecciona tu preferido en nuestra tienda virtual GEF.;7701701518506;XL;Gris;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Boxer-Hombre-Eslalom-Gris-7087-Frente-GEF.jpg?sharp=1&width=600&height=750;PANTALONCILLOS;0000-00-00 00:00:00.000000;MASCULINO;ADULTOS;AJUSTADO LARGO;boxer deportivo, boxer largo, boxer para hombre;UNIVERSITARIOS
700396;Camiseta para Niños New Pacific Kids Azul Marino 6;Camiseta para Niños New Pacific Kids Azul Marino 6;;7701701588943;6;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Azul-589-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;Camiseta para Niños, Camiseta Azul Marino, Camiseta Gef;NIÑOS
700396;Camiseta para Niños New Pacific Kids Blanca 6;Camiseta para Niños New Pacific Kids Blanca 6;;7701701588950;6;Blanco;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Blanco-902-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;Camiseta para Niños, Camiseta Blanca, Camiseta Gef;NIÑOS
700396;Camiseta para Niños New Pacific Kids Rojo 6;Camiseta para Niños New Pacific Kids Rojo 6;;7701701588967;6;Rojo;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Rojo-3617-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;Camiseta para Niños, Camiseta Rojo, Camiseta Gef;NIÑOS
700396;Camiseta para Niños New Pacific Kids Azul Marino 8;Camiseta para Niños New Pacific Kids Azul Marino 8;;7701701588981;8;Azul;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Azul-589-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;Camiseta para Niños, Camiseta Azul Marino, Camiseta Gef;NIÑOS
700396;Camiseta para Niños New Pacific Kids Blanca 10;Camiseta para Niños New Pacific Kids Blanca 10;;7701701589032;10;Blanco;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Blanco-902-Frente-GEF.jpg?sharp=1&width=600&height=750;CAMISETAS;0000-00-00 00:00:00.000000;MASCULINO;NIÑOS;MANGA CORTA;Camiseta para Niños, Camiseta Blanca, Camiseta Gef;NIÑOS
724304;Camiseta Tie Dye Unisex Blanca XS (6-8);Camiseta Tie Dye Unisex Blanca XS (6-8);<ul><li>Camiseta cuello redondo, manga corta</li><li>Elaborado en algodón el cual proporciona suavidad y frescura.</li><li>Esta fibra es ideal para lograr el mejor desempeño en el proceso de tie dye.</li><li>Con marquilla estampada para mayor comodidad.</li></ul>;7703081647531;XS 6-8;BLANCO 900;https://aatdtkgdoo.cloudimg.io/v7/http://tienda.babyfresh.com.co/wcsstore/CrystalCo_CAT_AS/2020/BBF/ES-CO/Imagenes/Unisex/Camisetas/Tie_Dye_Unisex/1000x1263/Camiseta-Bebe-Unisex-Tie-Dye-Unisex-Blanco-900-Frente-Baby-Fresh.jpg?sharp=1&width=600&height=750;CAMISETAS;;UNISEXO;BEBÉS;MANGA CORTA;camiseta para bebé, camiseta tribu, minime, camiseta blanca, tie dye;BEBÉS UNISEXO
724304;Camiseta Tie Dye Unisex Blanca S (8-10);Camiseta Tie Dye Unisex Blanca S (8-10);<ul><li>Camiseta cuello redondo, manga corta</li><li>Elaborado en algodón el cual proporciona suavidad y frescura.</li><li>Esta fibra es ideal para lograr el mejor desempeño en el proceso de tie dye.</li><li>Con marquilla estampada para mayor comodidad.</li></ul>;7703081647548;S 8-10;BLANCO 900;https://aatdtkgdoo.cloudimg.io/v7/http://tienda.babyfresh.com.co/wcsstore/CrystalCo_CAT_AS/2020/BBF/ES-CO/Imagenes/Unisex/Camisetas/Tie_Dye_Unisex/1000x1263/Camiseta-Bebe-Unisex-Tie-Dye-Unisex-Blanco-900-Frente-Baby-Fresh.jpg?sharp=1&width=600&height=750;CAMISETAS;;UNISEXO;BEBÉS;MANGA CORTA;camiseta para bebé, camiseta tribu, minime, camiseta blanca, tie dye;BEBÉS UNISEXO
